"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS","MSV2-ADS","MSV2-GINI -ADS","MSV2-AIS","MSV2-GINI -AIS","MSV3-ADS","MSV3-GINI -ADS","MSV3-AIS","MSV3-GINI -AIS","MSV4-ADS","MSV4-GINI -ADS","MSV4-AIS","MSV4-GINI -AIS","MSV5-ADS","MSV5-GINI -ADS","MSV5-AIS","MSV5-GINI -AIS","MSV6-ADS","MSV6-GINI -ADS","MSV6-AIS","MSV6-GINI -AIS"
"0","0.2550505","0.4772727","0.25","2.75","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","1.0","0","7.0","0","3.0","0","2.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"1","0.2550505","0.4772727","0.25","2.75","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","1.0","0","7.0","0","3.0","0","2.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"2","0.2550505","0.4772727","0.25","2.75","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","1.0","0","7.0","0","3.0","0","2.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"3","0.2550505","0.4772727","0.25","2.75","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","1.0","0","7.0","0","3.0","0","2.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"4","0.2550505","0.4772727","0.25","2.75","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","1.0","0","7.0","0","3.0","0","2.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"5","0.2550505","0.4772727","0.25","2.75","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","1.0","0","7.0","0","3.0","0","2.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"6","0.2550505","0.4772727","0.25","2.75","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","1.0","0","7.0","0","3.0","0","2.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"7","0.2857143","0.4879121","0.22435897435897437","2.6923076923076925","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0.035","2.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","1.0","0","8.0","0.01535088","3.0","0","2.0","0","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"8","0.2969925","0.4962406","0.2087912087912088","2.7142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0.05363985","2.0","0","3.0","0","2.0","0","3.0","0","2.0","0","5.0","0.02402402","0.0","0","1.0","0","9.0","0.03703704","3.0","0","3.0","0.04678363","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","1.0","0","2.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
"9","0.2969925","0.4962406","0.2087912087912088","2.7142857142857144","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0.06363636","2.0","0","3.0","0","2.0","0","3.0","0","2.0","0","5.0","0.03809524","0.0","0","1.0","0","9.0","0.04933333","3.0","0","3.0","0.07272727","1.0","0","5.0","0","1.0","0","9.0","0","1.0","0","1.0","0","2.0","0","1.0","0","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0"
