"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","RD19-ADS","RD19-GINI -ADS","RD19-AIS","RD19-GINI -AIS","RD20-ADS","RD20-GINI -ADS","RD20-AIS","RD20-GINI -AIS","RD21-ADS","RD21-GINI -ADS","RD21-AIS","RD21-GINI -AIS","RD22-ADS","RD22-GINI -ADS","RD22-AIS","RD22-GINI -AIS","RD23-ADS","RD23-GINI -ADS","RD23-AIS","RD23-GINI -AIS","RD24-ADS","RD24-GINI -ADS","RD24-AIS","RD24-GINI -AIS","RD25-ADS","RD25-GINI -ADS","RD25-AIS","RD25-GINI -AIS","RD26-ADS","RD26-GINI -ADS","RD26-AIS","RD26-GINI -AIS","RD27-ADS","RD27-GINI -ADS","RD27-AIS","RD27-GINI -AIS","RD28-ADS","RD28-GINI -ADS","RD28-AIS","RD28-GINI -AIS","RD29-ADS","RD29-GINI -ADS","RD29-AIS","RD29-GINI -AIS","RD30-ADS","RD30-GINI -ADS","RD30-AIS","RD30-GINI -AIS","RD31-ADS","RD31-GINI -ADS","RD31-AIS","RD31-GINI -AIS","RD32-ADS","RD32-GINI -ADS","RD32-AIS","RD32-GINI -AIS","RD33-ADS","RD33-GINI -ADS","RD33-AIS","RD33-GINI -AIS","RD34-ADS","RD34-GINI -ADS","RD34-AIS","RD34-GINI -AIS","RD35-ADS","RD35-GINI -ADS","RD35-AIS","RD35-GINI -AIS","RD36-ADS","RD36-GINI -ADS","RD36-AIS","RD36-GINI -AIS","RD37-ADS","RD37-GINI -ADS","RD37-AIS","RD37-GINI -AIS","RD38-ADS","RD38-GINI -ADS","RD38-AIS","RD38-GINI -AIS","RD39-ADS","RD39-GINI -ADS","RD39-AIS","RD39-GINI -AIS","RD40-ADS","RD40-GINI -ADS","RD40-AIS","RD40-GINI -AIS","RD41-ADS","RD41-GINI -ADS","RD41-AIS","RD41-GINI -AIS","RD42-ADS","RD42-GINI -ADS","RD42-AIS","RD42-GINI -AIS","RD43-ADS","RD43-GINI -ADS","RD43-AIS","RD43-GINI -AIS","RD44-ADS","RD44-GINI -ADS","RD44-AIS","RD44-GINI -AIS","RD45-ADS","RD45-GINI -ADS","RD45-AIS","RD45-GINI -AIS","RD46-ADS","RD46-GINI -ADS","RD46-AIS","RD46-GINI -AIS","RD47-ADS","RD47-GINI -ADS","RD47-AIS","RD47-GINI -AIS","RD48-ADS","RD48-GINI -ADS","RD48-AIS","RD48-GINI -AIS","RD49-ADS","RD49-GINI -ADS","RD49-AIS","RD49-GINI -AIS","RD50-ADS","RD50-GINI -ADS","RD50-AIS","RD50-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.1979088","0.4441848","0.11719883889695211","6.09433962264151","8.0","0","4.0","0","5.0","0","7.0","0","7.0","0","3.0","0","3.0","0","2.0","0","7.0","0","4.0","0","6.0","0","7.0","0","9.0","0","5.0","0","6.0","0","32.0","0","7.0","0","3.0","0","8.0","0","4.0","0","6.0","0","6.0","0","7.0","0","6.0","0","5.0","0","3.0","0","7.0","0","4.0","0","6.0","0","5.0","0","6.0","0","2.0","0","7.0","0","5.0","0","6.0","0","3.0","0","3.0","0","7.0","0","5.0","0","5.0","0","3.0","0","8.0","0","4.0","0","3.0","0","6.0","0","7.0","0","7.0","0","4.0","0","5.0","0","7.0","0","7.0","0","9.0","0","5.0","0","6.0","0","4.0","0","8.0","0","9.0","0","3.0","0","7.0","0","4.0","0","8.0","0","5.0","0","8.0","0","4.0","0","9.0","0","5.0","0","8.0","0","5.0","0","5.0","0","1.0","0","7.0","0","5.0","0","10.0","0","4.0","0","7.0","0","5.0","0","9.0","0","1.0","0","9.0","0","8.0","0","9.0","0","8.0","0","5.0","0","2.0","0","4.0","0","4.0","0","8.0","0","4.0","0","7.0","0","1.0","0","6.0","0","2.0","0","6.0","0","4.0","0","3.0","0","6.0","0","8.0","0","1.0","0","4.0","0","1.0","0","1.0","0","0.0","0","1.0","0","50.0","0","0.0","0","21.0","0","0.0","","0.0"
"1","0.2058689","0.4294587","0.11355695317959469","6.018518518518518","8.0","0","4.0","0","5.0","0","7.0","0","7.0","0","3.0","0","3.0","0","2.0","0","7.0","0","4.0","0","6.0","0","7.0","0","9.0","0","5.0","0","6.0","0","16.0","0.1666667","7.0","0","3.0","0","8.0","0","4.0","0","6.0","0","6.0","0","7.0","0","6.0","0","5.0","0","3.0","0","7.0","0","4.0","0","6.0","0","5.0","0","6.0","0","2.0","0","7.0","0","5.0","0","6.0","0","3.0","0","3.0","0","7.0","0","5.0","0","5.0","0","3.0","0","8.0","0","4.0","0","3.0","0","6.0","0","7.0","0","7.0","0","4.0","0","5.0","0","7.0","0","7.0","0","9.0","0","5.0","0","6.0","0","4.0","0","8.0","0","9.0","0","3.0","0","7.0","0","4.0","0","8.0","0","5.0","0","8.0","0","4.0","0","9.0","0","5.0","0","8.0","0","5.0","0","5.0","0","1.0","0","7.0","0","5.0","0","10.0","0","4.0","0","7.0","0","5.0","0","9.0","0","1.0","0","9.0","0","8.0","0","9.0","0","8.0","0","5.0","0","2.0","0","4.0","0","4.0","0","8.0","0","4.0","0","7.0","0","1.0","0","6.0","0","2.0","0","6.0","0","4.0","0","3.0","0","6.0","0","8.0","0","1.0","0","4.0","0","1.0","0","1.0","0","0.0","0","1.0","0","51.0","0.004950495","0.0","0","22.0","0.01162791","2.0","0","16.0","0"
"2","0.2058689","0.4294587","0.11355695317959469","6.018518518518518","8.0","0","4.0","0","5.0","0","7.0","0","7.0","0","3.0","0","3.0","0","2.0","0","7.0","0","4.0","0","6.0","0","7.0","0","9.0","0","5.0","0","6.0","0","16.0","0.1666667","7.0","0","3.0","0","8.0","0","4.0","0","6.0","0","6.0","0","7.0","0","6.0","0","5.0","0","3.0","0","7.0","0","4.0","0","6.0","0","5.0","0","6.0","0","2.0","0","7.0","0","5.0","0","6.0","0","3.0","0","3.0","0","7.0","0","5.0","0","5.0","0","3.0","0","8.0","0","4.0","0","3.0","0","6.0","0","7.0","0","7.0","0","4.0","0","5.0","0","7.0","0","7.0","0","9.0","0","5.0","0","6.0","0","4.0","0","8.0","0","9.0","0","3.0","0","7.0","0","4.0","0","8.0","0","5.0","0","8.0","0","4.0","0","9.0","0","5.0","0","8.0","0","5.0","0","5.0","0","1.0","0","7.0","0","5.0","0","10.0","0","4.0","0","7.0","0","5.0","0","9.0","0","1.0","0","9.0","0","8.0","0","9.0","0","8.0","0","5.0","0","2.0","0","4.0","0","4.0","0","8.0","0","4.0","0","7.0","0","1.0","0","6.0","0","2.0","0","6.0","0","4.0","0","3.0","0","6.0","0","8.0","0","1.0","0","4.0","0","1.0","0","1.0","0","0.0","0","1.0","0","51.0","0.004385965","0.0","0","22.0","0.01025641","2.0","0","16.0","0"
"3","0.2058689","0.4294587","0.11355695317959469","6.018518518518518","8.0","0","4.0","0","5.0","0","7.0","0","7.0","0","3.0","0","3.0","0","2.0","0","7.0","0","4.0","0","6.0","0","7.0","0","9.0","0","5.0","0","6.0","0","16.0","0.15","7.0","0","3.0","0","8.0","0","4.0","0","6.0","0","6.0","0","7.0","0","6.0","0","5.0","0","3.0","0","7.0","0","4.0","0","6.0","0","5.0","0","6.0","0","2.0","0","7.0","0","5.0","0","6.0","0","3.0","0","3.0","0","7.0","0","5.0","0","5.0","0","3.0","0","8.0","0","4.0","0","3.0","0","6.0","0","7.0","0","7.0","0","4.0","0","5.0","0","7.0","0","7.0","0","9.0","0","5.0","0","6.0","0","4.0","0","8.0","0","9.0","0","3.0","0","7.0","0","4.0","0","8.0","0","5.0","0","8.0","0","4.0","0","9.0","0","5.0","0","8.0","0","5.0","0","5.0","0","1.0","0","7.0","0","5.0","0","10.0","0","4.0","0","7.0","0","5.0","0","9.0","0","1.0","0","9.0","0","8.0","0","9.0","0","8.0","0","5.0","0","2.0","0","4.0","0","4.0","0","8.0","0","4.0","0","7.0","0","1.0","0","6.0","0","2.0","0","6.0","0","4.0","0","3.0","0","6.0","0","8.0","0","1.0","0","4.0","0","1.0","0","1.0","0","0.0","0","1.0","0","51.0","0.003694581","0.0","0","22.0","0.008620690","2.0","0","16.0","0"
"4","0.2058689","0.4294587","0.11355695317959469","6.018518518518518","8.0","0","4.0","0","5.0","0","7.0","0","7.0","0","3.0","0","3.0","0","2.0","0","7.0","0","4.0","0","6.0","0","7.0","0","9.0","0","5.0","0","6.0","0","16.0","0.1333333","7.0","0","3.0","0","8.0","0","4.0","0","6.0","0","6.0","0","7.0","0","6.0","0","5.0","0","3.0","0","7.0","0","4.0","0","6.0","0","5.0","0","6.0","0","2.0","0","7.0","0","5.0","0","6.0","0","3.0","0","3.0","0","7.0","0","5.0","0","5.0","0","3.0","0","8.0","0","4.0","0","3.0","0","6.0","0","7.0","0","7.0","0","4.0","0","5.0","0","7.0","0","7.0","0","9.0","0","5.0","0","6.0","0","4.0","0","8.0","0","9.0","0","3.0","0","7.0","0","4.0","0","8.0","0","5.0","0","8.0","0","4.0","0","9.0","0","5.0","0","8.0","0","5.0","0","5.0","0","1.0","0","7.0","0","5.0","0","10.0","0","4.0","0","7.0","0","5.0","0","9.0","0","1.0","0","9.0","0","8.0","0","9.0","0","8.0","0","5.0","0","2.0","0","4.0","0","4.0","0","8.0","0","4.0","0","7.0","0","1.0","0","6.0","0","2.0","0","6.0","0","4.0","0","3.0","0","6.0","0","8.0","0","1.0","0","4.0","0","1.0","0","1.0","0","0.0","0","1.0","0","51.0","0.003149606","0.0","0","22.0","0.007339450","2.0","0","16.0","0"
"5","0.2058689","0.4294587","0.11355695317959469","6.018518518518518","8.0","0","4.0","0","5.0","0","7.0","0","7.0","0","3.0","0","3.0","0","2.0","0","7.0","0","4.0","0","6.0","0","7.0","0","9.0","0","5.0","0","6.0","0","16.0","0.1190476","7.0","0","3.0","0","8.0","0","4.0","0","6.0","0","6.0","0","7.0","0","6.0","0","5.0","0","3.0","0","7.0","0","4.0","0","6.0","0","5.0","0","6.0","0","2.0","0","7.0","0","5.0","0","6.0","0","3.0","0","3.0","0","7.0","0","5.0","0","5.0","0","3.0","0","8.0","0","4.0","0","3.0","0","6.0","0","7.0","0","7.0","0","4.0","0","5.0","0","7.0","0","7.0","0","9.0","0","5.0","0","6.0","0","4.0","0","8.0","0","9.0","0","3.0","0","7.0","0","4.0","0","8.0","0","5.0","0","8.0","0","4.0","0","9.0","0","5.0","0","8.0","0","5.0","0","5.0","0","1.0","0","7.0","0","5.0","0","10.0","0","4.0","0","7.0","0","5.0","0","9.0","0","1.0","0","9.0","0","8.0","0","9.0","0","8.0","0","5.0","0","2.0","0","4.0","0","4.0","0","8.0","0","4.0","0","7.0","0","1.0","0","6.0","0","2.0","0","6.0","0","4.0","0","3.0","0","6.0","0","8.0","0","1.0","0","4.0","0","1.0","0","1.0","0","0.0","0","1.0","0","51.0","0.002732240","0.0","0","22.0","0.006361323","2.0","0","16.0","0"
"6","0.2058689","0.4294587","0.11355695317959469","6.018518518518518","8.0","0","4.0","0","5.0","0","7.0","0","7.0","0","3.0","0","3.0","0","2.0","0","7.0","0","4.0","0","6.0","0","7.0","0","9.0","0","5.0","0","6.0","0","16.0","0.1071429","7.0","0","3.0","0","8.0","0","4.0","0","6.0","0","6.0","0","7.0","0","6.0","0","5.0","0","3.0","0","7.0","0","4.0","0","6.0","0","5.0","0","6.0","0","2.0","0","7.0","0","5.0","0","6.0","0","3.0","0","3.0","0","7.0","0","5.0","0","5.0","0","3.0","0","8.0","0","4.0","0","3.0","0","6.0","0","7.0","0","7.0","0","4.0","0","5.0","0","7.0","0","7.0","0","9.0","0","5.0","0","6.0","0","4.0","0","8.0","0","9.0","0","3.0","0","7.0","0","4.0","0","8.0","0","5.0","0","8.0","0","4.0","0","9.0","0","5.0","0","8.0","0","5.0","0","5.0","0","1.0","0","7.0","0","5.0","0","10.0","0","4.0","0","7.0","0","5.0","0","9.0","0","1.0","0","9.0","0","8.0","0","9.0","0","8.0","0","5.0","0","2.0","0","4.0","0","4.0","0","8.0","0","4.0","0","7.0","0","1.0","0","6.0","0","2.0","0","6.0","0","4.0","0","3.0","0","6.0","0","8.0","0","1.0","0","4.0","0","1.0","0","1.0","0","0.0","0","1.0","0","51.0","0.002407705","0.0","0","22.0","0.005602241","2.0","0","16.0","0"
"7","0.2058689","0.4294587","0.11355695317959469","6.018518518518518","8.0","0","4.0","0","5.0","0","7.0","0","7.0","0","3.0","0","3.0","0","2.0","0","7.0","0","4.0","0","6.0","0","7.0","0","9.0","0","5.0","0","6.0","0","16.0","0.09722222","7.0","0","3.0","0","8.0","0","4.0","0","6.0","0","6.0","0","7.0","0","6.0","0","5.0","0","3.0","0","7.0","0","4.0","0","6.0","0","5.0","0","6.0","0","2.0","0","7.0","0","5.0","0","6.0","0","3.0","0","3.0","0","7.0","0","5.0","0","5.0","0","3.0","0","8.0","0","4.0","0","3.0","0","6.0","0","7.0","0","7.0","0","4.0","0","5.0","0","7.0","0","7.0","0","9.0","0","5.0","0","6.0","0","4.0","0","8.0","0","9.0","0","3.0","0","7.0","0","4.0","0","8.0","0","5.0","0","8.0","0","4.0","0","9.0","0","5.0","0","8.0","0","5.0","0","5.0","0","1.0","0","7.0","0","5.0","0","10.0","0","4.0","0","7.0","0","5.0","0","9.0","0","1.0","0","9.0","0","8.0","0","9.0","0","8.0","0","5.0","0","2.0","0","4.0","0","4.0","0","8.0","0","4.0","0","7.0","0","1.0","0","6.0","0","2.0","0","6.0","0","4.0","0","3.0","0","6.0","0","8.0","0","1.0","0","4.0","0","1.0","0","1.0","0","0.0","0","1.0","0","51.0","0.002149877","0.0","0","22.0","0.005","2.0","0","16.0","0"
"8","0.2058689","0.4294587","0.11355695317959469","6.018518518518518","8.0","0","4.0","0","5.0","0","7.0","0","7.0","0","3.0","0","3.0","0","2.0","0","7.0","0","4.0","0","6.0","0","7.0","0","9.0","0","5.0","0","6.0","0","16.0","0.08888889","7.0","0","3.0","0","8.0","0","4.0","0","6.0","0","6.0","0","7.0","0","6.0","0","5.0","0","3.0","0","7.0","0","4.0","0","6.0","0","5.0","0","6.0","0","2.0","0","7.0","0","5.0","0","6.0","0","3.0","0","3.0","0","7.0","0","5.0","0","5.0","0","3.0","0","8.0","0","4.0","0","3.0","0","6.0","0","7.0","0","7.0","0","4.0","0","5.0","0","7.0","0","7.0","0","9.0","0","5.0","0","6.0","0","4.0","0","8.0","0","9.0","0","3.0","0","7.0","0","4.0","0","8.0","0","5.0","0","8.0","0","4.0","0","9.0","0","5.0","0","8.0","0","5.0","0","5.0","0","1.0","0","7.0","0","5.0","0","10.0","0","4.0","0","7.0","0","5.0","0","9.0","0","1.0","0","9.0","0","8.0","0","9.0","0","8.0","0","5.0","0","2.0","0","4.0","0","4.0","0","8.0","0","4.0","0","7.0","0","1.0","0","6.0","0","2.0","0","6.0","0","4.0","0","3.0","0","6.0","0","8.0","0","1.0","0","4.0","0","1.0","0","1.0","0","0.0","0","1.0","0","51.0","0.001940805","0.0","0","22.0","0.004512126","2.0","0","16.0","0"
"9","0.2058689","0.4294587","0.11355695317959469","6.018518518518518","8.0","0","4.0","0","5.0","0","7.0","0","7.0","0","3.0","0","3.0","0","2.0","0","7.0","0","4.0","0","6.0","0","7.0","0","9.0","0","5.0","0","6.0","0","16.0","0.08181818","7.0","0","3.0","0","8.0","0","4.0","0","6.0","0","6.0","0","7.0","0","6.0","0","5.0","0","3.0","0","7.0","0","4.0","0","6.0","0","5.0","0","6.0","0","2.0","0","7.0","0","5.0","0","6.0","0","3.0","0","3.0","0","7.0","0","5.0","0","5.0","0","3.0","0","8.0","0","4.0","0","3.0","0","6.0","0","7.0","0","7.0","0","4.0","0","5.0","0","7.0","0","7.0","0","9.0","0","5.0","0","6.0","0","4.0","0","8.0","0","9.0","0","3.0","0","7.0","0","4.0","0","8.0","0","5.0","0","8.0","0","4.0","0","9.0","0","5.0","0","8.0","0","5.0","0","5.0","0","1.0","0","7.0","0","5.0","0","10.0","0","4.0","0","7.0","0","5.0","0","9.0","0","1.0","0","9.0","0","8.0","0","9.0","0","8.0","0","5.0","0","2.0","0","4.0","0","4.0","0","8.0","0","4.0","0","7.0","0","1.0","0","6.0","0","2.0","0","6.0","0","4.0","0","3.0","0","6.0","0","8.0","0","1.0","0","4.0","0","1.0","0","1.0","0","0.0","0","1.0","0","51.0","0.001768173","0.0","0","22.0","0.004109589","2.0","0","16.0","0"
