"release","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS"
"1","2.0","2.0","4.0","0.25","0.25","3.0","2.0","6.0","0.375","0.25","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","2.0","2.0","4.0","0.25","0.25","3.0","2.0","6.0","0.375","0.25","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","2.0","2.0","4.0","0.25","0.25","3.0","2.0","6.0","0.375","0.25","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","2.0","2.0","4.0","0.25","0.25","3.0","2.0","6.0","0.375","0.25","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","2.0","2.0","4.0","0.25","0.25","3.0","2.0","6.0","0.375","0.25","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","2.0","2.0","4.0","0.25","0.25","3.0","2.0","6.0","0.375","0.25","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","2.0","2.0","4.0","0.25","0.25","3.0","2.0","6.0","0.375","0.25","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","2.0","2.0","4.0","0.25","0.25","3.0","2.0","6.0","0.375","0.25","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","1.0","1.0","1.0","0.14285714285714285","0.14285714285714285","3.0","2.0","6.0","0.42857142857142855","0.2857142857142857","3.0","1.0","3.0","0.42857142857142855","0.14285714285714285","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","2.0","0.0","0.0","0.2857142857142857","0.0","1.0","4.0","4.0","0.14285714285714285","0.5714285714285714","0.0","3.0","0.0","0.0","0.42857142857142855","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","1.0","1.0","1.0","0.125","0.125","3.0","2.0","6.0","0.375","0.25","4.0","1.0","4.0","0.5","0.125","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","1.0","1.0","1.0","0.125","0.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"11","1.0","1.0","1.0","0.125","0.125","3.0","2.0","6.0","0.375","0.25","4.0","1.0","4.0","0.5","0.125","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","1.0","1.0","1.0","0.125","0.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","1.0","1.0","1.0","0.125","0.125","3.0","2.0","6.0","0.375","0.25","4.0","1.0","4.0","0.5","0.125","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","1.0","1.0","1.0","0.125","0.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","1.0","1.0","1.0","0.125","0.125","3.0","2.0","6.0","0.375","0.25","4.0","1.0","4.0","0.5","0.125","2.0","1.0","2.0","0.25","0.125","2.0","0.0","0.0","0.25","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","1.0","1.0","1.0","0.125","0.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","4.0","0.0","0.0","0.4444444444444444","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","0.0","0.0","0.2222222222222222","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","4.0","0.0","0.0","0.4444444444444444","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
