"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS","MSV9-ADS","MSV9-AIS","MSV9-ACS","MSV9-RCS","MSV9-RIS","MSV10-ADS","MSV10-AIS","MSV10-ACS","MSV10-RCS","MSV10-RIS","MSV11-ADS","MSV11-AIS","MSV11-ACS","MSV11-RCS","MSV11-RIS","MSV12-ADS","MSV12-AIS","MSV12-ACS","MSV12-RCS","MSV12-RIS","MSV13-ADS","MSV13-AIS","MSV13-ACS","MSV13-RCS","MSV13-RIS","MSV14-ADS","MSV14-AIS","MSV14-ACS","MSV14-RCS","MSV14-RIS"
"11","2.0","4.0","8.0","0.07692307692307693","0.15384615384615385","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","11.0","1.0","11.0","0.4230769230769231","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","7.0","0.0","0.0","0.2692307692307692","0.0","1.0","14.0","14.0","0.038461538461538464","0.5384615384615384","8.0","9.0","72.0","0.3076923076923077","0.34615384615384615","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","21.0","21.0","0.038461538461538464","0.8076923076923077","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","2.0","4.0","8.0","0.07692307692307693","0.15384615384615385","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","11.0","1.0","11.0","0.4230769230769231","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","7.0","0.0","0.0","0.2692307692307692","0.0","1.0","14.0","14.0","0.038461538461538464","0.5384615384615384","8.0","9.0","72.0","0.3076923076923077","0.34615384615384615","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","21.0","21.0","0.038461538461538464","0.8076923076923077","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","4.0","8.0","0.07692307692307693","0.15384615384615385","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","11.0","1.0","11.0","0.4230769230769231","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","7.0","0.0","0.0","0.2692307692307692","0.0","1.0","14.0","14.0","0.038461538461538464","0.5384615384615384","8.0","9.0","72.0","0.3076923076923077","0.34615384615384615","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","21.0","21.0","0.038461538461538464","0.8076923076923077","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","4.0","8.0","0.07692307692307693","0.15384615384615385","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","11.0","1.0","11.0","0.4230769230769231","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","7.0","0.0","0.0","0.2692307692307692","0.0","1.0","14.0","14.0","0.038461538461538464","0.5384615384615384","8.0","9.0","72.0","0.3076923076923077","0.34615384615384615","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","21.0","21.0","0.038461538461538464","0.8076923076923077","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","4.0","8.0","0.07692307692307693","0.15384615384615385","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","11.0","1.0","11.0","0.4230769230769231","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","7.0","0.0","0.0","0.2692307692307692","0.0","1.0","14.0","14.0","0.038461538461538464","0.5384615384615384","8.0","9.0","72.0","0.3076923076923077","0.34615384615384615","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","21.0","21.0","0.038461538461538464","0.8076923076923077","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","4.0","8.0","0.07407407407407407","0.14814814814814814","3.0","2.0","6.0","0.1111111111111111","0.07407407407407407","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","3.0","2.0","6.0","0.1111111111111111","0.07407407407407407","3.0","2.0","6.0","0.1111111111111111","0.07407407407407407","3.0","2.0","6.0","0.1111111111111111","0.07407407407407407","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","11.0","1.0","11.0","0.4074074074074074","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","5.0","1.0","5.0","0.18518518518518517","0.037037037037037035","8.0","0.0","0.0","0.2962962962962963","0.0","1.0","15.0","15.0","0.037037037037037035","0.5555555555555556","8.0","9.0","72.0","0.2962962962962963","0.3333333333333333","1.0","10.0","10.0","0.037037037037037035","0.37037037037037035","1.0","22.0","22.0","0.037037037037037035","0.8148148148148148","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","2.0","6.0","0.1111111111111111","0.07407407407407407","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","2.0","4.0","8.0","0.07142857142857142","0.14285714285714285","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","2.0","2.0","4.0","0.07142857142857142","0.07142857142857142","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","11.0","1.0","11.0","0.39285714285714285","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","3.0","6.0","0.07142857142857142","0.10714285714285714","5.0","1.0","5.0","0.17857142857142858","0.03571428571428571","9.0","0.0","0.0","0.32142857142857145","0.0","1.0","16.0","16.0","0.03571428571428571","0.5714285714285714","8.0","9.0","72.0","0.2857142857142857","0.32142857142857145","1.0","11.0","11.0","0.03571428571428571","0.39285714285714285","1.0","23.0","23.0","0.03571428571428571","0.8214285714285714","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","3.0","2.0","6.0","0.10714285714285714","0.07142857142857142","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","2.0","4.0","8.0","0.06451612903225806","0.12903225806451613","3.0","3.0","9.0","0.0967741935483871","0.0967741935483871","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","11.0","1.0","11.0","0.3548387096774194","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","10.0","0.0","0.0","0.3225806451612903","0.0","1.0","19.0","19.0","0.03225806451612903","0.6129032258064516","8.0","9.0","72.0","0.25806451612903225","0.2903225806451613","1.0","14.0","14.0","0.03225806451612903","0.45161290322580644","1.0","25.0","25.0","0.03225806451612903","0.8064516129032258","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","2.0","4.0","8.0","0.06451612903225806","0.12903225806451613","3.0","3.0","9.0","0.0967741935483871","0.0967741935483871","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","11.0","1.0","11.0","0.3548387096774194","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","10.0","0.0","0.0","0.3225806451612903","0.0","1.0","19.0","19.0","0.03225806451612903","0.6129032258064516","8.0","9.0","72.0","0.25806451612903225","0.2903225806451613","1.0","14.0","14.0","0.03225806451612903","0.45161290322580644","1.0","25.0","25.0","0.03225806451612903","0.8064516129032258","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","2.0","4.0","8.0","0.06451612903225806","0.12903225806451613","3.0","3.0","9.0","0.0967741935483871","0.0967741935483871","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","2.0","2.0","4.0","0.06451612903225806","0.06451612903225806","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","11.0","1.0","11.0","0.3548387096774194","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","10.0","0.0","0.0","0.3225806451612903","0.0","1.0","19.0","19.0","0.03225806451612903","0.6129032258064516","8.0","9.0","72.0","0.25806451612903225","0.2903225806451613","1.0","14.0","14.0","0.03225806451612903","0.45161290322580644","1.0","25.0","25.0","0.03225806451612903","0.8064516129032258","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","2.0","6.0","0.0967741935483871","0.06451612903225806","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","2.0","4.0","8.0","0.058823529411764705","0.11764705882352941","3.0","3.0","9.0","0.08823529411764706","0.08823529411764706","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","2.0","2.0","4.0","0.058823529411764705","0.058823529411764705","3.0","2.0","6.0","0.08823529411764706","0.058823529411764705","3.0","2.0","6.0","0.08823529411764706","0.058823529411764705","3.0","2.0","6.0","0.08823529411764706","0.058823529411764705","2.0","2.0","4.0","0.058823529411764705","0.058823529411764705","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","11.0","1.0","11.0","0.3235294117647059","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","2.0","3.0","6.0","0.058823529411764705","0.08823529411764706","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","12.0","0.0","0.0","0.35294117647058826","0.0","1.0","22.0","22.0","0.029411764705882353","0.6470588235294118","8.0","9.0","72.0","0.23529411764705882","0.2647058823529412","1.0","16.0","16.0","0.029411764705882353","0.47058823529411764","1.0","26.0","26.0","0.029411764705882353","0.7647058823529411","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","3.0","2.0","6.0","0.08823529411764706","0.058823529411764705","3.0","2.0","6.0","0.08823529411764706","0.058823529411764705","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","5.0","1.0","5.0","0.14705882352941177","0.029411764705882353","4.0","1.0","4.0","0.11764705882352941","0.029411764705882353","2.0","2.0","4.0","0.058823529411764705","0.058823529411764705","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","2.0","1.0","2.0","0.058823529411764705","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353","3.0","1.0","3.0","0.08823529411764706","0.029411764705882353"
