"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS"
"1","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","4.0","0.0","0.0","0.4444444444444444","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","4.0","2.0","8.0","0.4","0.2","3.0","2.0","6.0","0.3","0.2","3.0","1.0","3.0","0.3","0.1","3.0","2.0","6.0","0.3","0.2","3.0","1.0","3.0","0.3","0.1","3.0","1.0","3.0","0.3","0.1","4.0","0.0","0.0","0.4","0.0","0.0","8.0","0.0","0.0","0.8","1.0","7.0","7.0","0.1","0.7","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","4.0","2.0","8.0","0.4","0.2","3.0","2.0","6.0","0.3","0.2","3.0","1.0","3.0","0.3","0.1","3.0","2.0","6.0","0.3","0.2","3.0","1.0","3.0","0.3","0.1","3.0","1.0","3.0","0.3","0.1","4.0","0.0","0.0","0.4","0.0","0.0","8.0","0.0","0.0","0.8","1.0","7.0","7.0","0.1","0.7","1.0","1.0","1.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
