"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","2.0","0.0","0.0","0.16666666666666666","0.0","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","7.0","42.0","0.5","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","0.0","0.0","0.0"
"2","2.0","0.0","0.0","0.16666666666666666","0.0","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","7.0","42.0","0.5","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","0.0","0.0","0.0"
"3","2.0","0.0","0.0","0.16666666666666666","0.0","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","7.0","42.0","0.5","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","0.0","0.0","0.0"
"4","2.0","0.0","0.0","0.16666666666666666","0.0","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","7.0","42.0","0.5","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","0.0","0.0","0.0"
"5","2.0","0.0","0.0","0.16666666666666666","0.0","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","7.0","42.0","0.5","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","0.0","0.0","0.0"
"6","2.0","0.0","0.0","0.16666666666666666","0.0","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","1.0","4.0","4.0","0.08333333333333333","0.3333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","2.0","0.0","0.0","0.16666666666666666","0.0","1.0","2.0","2.0","0.08333333333333333","0.16666666666666666","6.0","7.0","42.0","0.5","0.5833333333333334","0.0","5.0","0.0","0.0","0.4166666666666667","0.0","0.0","0.0","0.0","0.0"
"7","2.0","0.0","0.0","0.15384615384615385","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","0.0","0.0","0.15384615384615385","0.0","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078","6.0","7.0","42.0","0.46153846153846156","0.5384615384615384","0.0","5.0","0.0","0.0","0.38461538461538464","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385"
"8","2.0","0.0","0.0","0.15384615384615385","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","0.0","0.0","0.15384615384615385","0.0","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078","6.0","7.0","42.0","0.46153846153846156","0.5384615384615384","0.0","5.0","0.0","0.0","0.38461538461538464","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385"
"9","2.0","0.0","0.0","0.15384615384615385","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","0.0","0.0","0.15384615384615385","0.0","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078","6.0","7.0","42.0","0.46153846153846156","0.5384615384615384","0.0","5.0","0.0","0.0","0.38461538461538464","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385"
"10","2.0","0.0","0.0","0.15384615384615385","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","0.0","0.0","0.15384615384615385","0.0","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078","6.0","7.0","42.0","0.46153846153846156","0.5384615384615384","0.0","5.0","0.0","0.0","0.38461538461538464","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385"
"11","2.0","0.0","0.0","0.15384615384615385","0.0","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","0.0","0.0","0.15384615384615385","0.0","1.0","3.0","3.0","0.07692307692307693","0.23076923076923078","6.0","7.0","42.0","0.46153846153846156","0.5384615384615384","0.0","5.0","0.0","0.0","0.38461538461538464","1.0","2.0","2.0","0.07692307692307693","0.15384615384615385"
