"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS"
"1","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","5.0","4.0","20.0","0.29411764705882354","0.23529411764705882","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","5.0","10.0","0.11764705882352941","0.29411764705882354","4.0","3.0","12.0","0.23529411764705882","0.17647058823529413","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","6.0","2.0","12.0","0.35294117647058826","0.11764705882352941","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","0.0","0.0","0.17647058823529413","0.0","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","0.0","7.0","0.0","0.0","0.4117647058823529","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","5.0","4.0","20.0","0.29411764705882354","0.23529411764705882","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","5.0","10.0","0.11764705882352941","0.29411764705882354","4.0","3.0","12.0","0.23529411764705882","0.17647058823529413","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","6.0","2.0","12.0","0.35294117647058826","0.11764705882352941","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","0.0","0.0","0.17647058823529413","0.0","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","0.0","7.0","0.0","0.0","0.4117647058823529","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","5.0","4.0","20.0","0.29411764705882354","0.23529411764705882","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","5.0","10.0","0.11764705882352941","0.29411764705882354","4.0","3.0","12.0","0.23529411764705882","0.17647058823529413","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","6.0","2.0","12.0","0.35294117647058826","0.11764705882352941","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","0.0","0.0","0.17647058823529413","0.0","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","0.0","7.0","0.0","0.0","0.4117647058823529","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","5.0","4.0","20.0","0.29411764705882354","0.23529411764705882","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","5.0","10.0","0.11764705882352941","0.29411764705882354","4.0","3.0","12.0","0.23529411764705882","0.17647058823529413","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","6.0","2.0","12.0","0.35294117647058826","0.11764705882352941","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","0.0","0.0","0.17647058823529413","0.0","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","0.0","7.0","0.0","0.0","0.4117647058823529","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","5.0","4.0","20.0","0.29411764705882354","0.23529411764705882","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","5.0","10.0","0.11764705882352941","0.29411764705882354","4.0","3.0","12.0","0.23529411764705882","0.17647058823529413","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","6.0","2.0","12.0","0.35294117647058826","0.11764705882352941","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","0.0","0.0","0.17647058823529413","0.0","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","0.0","7.0","0.0","0.0","0.4117647058823529","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","5.0","4.0","20.0","0.29411764705882354","0.23529411764705882","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","5.0","10.0","0.11764705882352941","0.29411764705882354","4.0","3.0","12.0","0.23529411764705882","0.17647058823529413","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","3.0","2.0","6.0","0.17647058823529413","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","6.0","2.0","12.0","0.35294117647058826","0.11764705882352941","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","0.0","0.0","0.17647058823529413","0.0","1.0","15.0","15.0","0.058823529411764705","0.8823529411764706","0.0","7.0","0.0","0.0","0.4117647058823529","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","2.0","4.0","0.1111111111111111","0.1111111111111111","2.0","2.0","4.0","0.1111111111111111","0.1111111111111111","5.0","4.0","20.0","0.2777777777777778","0.2222222222222222","2.0","0.0","0.0","0.1111111111111111","0.0","2.0","0.0","0.0","0.1111111111111111","0.0","2.0","5.0","10.0","0.1111111111111111","0.2777777777777778","4.0","3.0","12.0","0.2222222222222222","0.16666666666666666","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","2.0","0.0","0.0","0.1111111111111111","0.0","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","7.0","2.0","14.0","0.3888888888888889","0.1111111111111111","3.0","0.0","0.0","0.16666666666666666","0.0","3.0","0.0","0.0","0.16666666666666666","0.0","1.0","16.0","16.0","0.05555555555555555","0.8888888888888888","0.0","8.0","0.0","0.0","0.4444444444444444","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","5.0","4.0","20.0","0.2631578947368421","0.21052631578947367","2.0","0.0","0.0","0.10526315789473684","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421","4.0","3.0","12.0","0.21052631578947367","0.15789473684210525","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","2.0","0.0","0.0","0.10526315789473684","0.0","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","8.0","2.0","16.0","0.42105263157894735","0.10526315789473684","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","1.0","17.0","17.0","0.05263157894736842","0.8947368421052632","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","5.0","4.0","20.0","0.2631578947368421","0.21052631578947367","2.0","0.0","0.0","0.10526315789473684","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421","4.0","3.0","12.0","0.21052631578947367","0.15789473684210525","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","2.0","0.0","0.0","0.10526315789473684","0.0","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","8.0","2.0","16.0","0.42105263157894735","0.10526315789473684","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","1.0","17.0","17.0","0.05263157894736842","0.8947368421052632","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","5.0","4.0","20.0","0.2631578947368421","0.21052631578947367","2.0","0.0","0.0","0.10526315789473684","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421","4.0","3.0","12.0","0.21052631578947367","0.15789473684210525","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","2.0","0.0","0.0","0.10526315789473684","0.0","3.0","2.0","6.0","0.15789473684210525","0.10526315789473684","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","8.0","2.0","16.0","0.42105263157894735","0.10526315789473684","3.0","0.0","0.0","0.15789473684210525","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","1.0","17.0","17.0","0.05263157894736842","0.8947368421052632","0.0","8.0","0.0","0.0","0.42105263157894735","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
