"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"11","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222"
"12","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222"
"13","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222"
"14","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222"
"15","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222"
"16","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222"
"17","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222"
"18","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222"
"19","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222"
"20","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222"
"21","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","7.0","0.0","0.0","0.7777777777777778","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222"
